Date,Open,High,Low,Close,Volume
3/27/2018 15:30:00,487.5,489.45,477.25,486.03,1247600
3/28/2018 15:30:00,480.78,490.8,477.53,484.3,2310086
4/2/2018 15:30:00,483.15,492.45,482.4,489.75,647823
4/3/2018 15:30:00,486.25,494.5,481.53,484.63,1018000
4/4/2018 15:30:00,490.5,490.63,474.75,479.63,902390
4/5/2018 15:30:00,485,492.1,478.28,481.03,1402552
4/6/2018 15:30:00,486,486,475.3,476.33,1257905
4/9/2018 15:30:00,477.15,481.33,474,476.63,854036
4/10/2018 15:30:00,476.55,480.98,471.78,474.23,1215886
4/11/2018 15:30:00,477.5,488.85,475.68,483.65,1858482
4/12/2018 15:30:00,483.98,506.5,483.65,505.03,4091383
4/13/2018 15:30:00,507.25,510,494.13,495.63,3180555
4/16/2018 15:30:00,489.5,503.38,488.05,499.95,1912264
4/17/2018 15:30:00,498.53,508,498.53,505.5,1864953
4/18/2018 15:30:00,507.45,507.9,496.5,498.43,1004131
4/19/2018 15:30:00,502.5,510.75,499.5,509.28,1150814
4/20/2018 15:30:00,510,537.1,509.95,531.17,4745299
4/23/2018 15:30:00,531,554,527.5,544,4543462
4/24/2018 15:30:00,542.45,549.88,529.05,530.98,1996809
4/25/2018 15:30:00,530.92,540.75,523,534.4,1501140
4/26/2018 15:30:00,528,544.17,525.83,538.65,3026106
4/27/2018 15:30:00,538.5,545.33,517.5,520.83,2382304
4/30/2018 15:30:00,524.45,539.5,522.53,526.38,1573833
5/2/2018 15:30:00,525,525.98,497.75,500.25,7507479
5/3/2018 15:30:00,498.5,498.5,460,462.85,7638012
5/4/2018 15:30:00,461.48,472,453.85,464.93,4182503
5/7/2018 15:30:00,468.4,470.33,460.53,464.1,1288421
5/8/2018 15:30:00,465.1,466.5,453.55,460.05,2040134
5/9/2018 15:30:00,462,468.33,460.4,463.75,1378640
5/10/2018 15:30:00,466.45,468.95,463.05,465.1,1870741
5/11/2018 15:30:00,465.6,469.13,465.55,466.43,1058701
5/14/2018 15:30:00,468.7,468.7,460.23,462.65,1566148
5/15/2018 15:30:00,460.15,466.35,455.78,462.5,2119665
5/16/2018 15:30:00,461.25,465.45,458.25,460.13,981986
5/17/2018 15:30:00,463.45,463.45,452.35,454.88,1449952
5/18/2018 15:30:00,452.5,459,443.55,445.35,1758863
5/21/2018 15:30:00,446,450.28,443.5,447.98,1471238
5/22/2018 15:30:00,445.18,455.85,444.78,452.45,1242547
5/23/2018 15:30:00,452.5,459.2,445.93,447.18,1867414
5/24/2018 15:30:00,452.98,458.95,450.1,455.85,3154665
5/25/2018 15:30:00,458.95,461.93,456,458,1044541
5/28/2018 15:30:00,458,458.5,445.5,447.25,1325882
5/29/2018 15:30:00,449.5,454.75,447.5,452.55,992916
5/30/2018 15:30:00,453.5,455.9,448.8,453.68,1187024
5/31/2018 15:30:00,454,457.4,450.53,455.18,2809322
6/1/2018 15:30:00,455,461.95,450,452.43,969531
6/4/2018 15:30:00,453.5,458.45,449.58,450.35,752943
6/5/2018 15:30:00,452.98,455.1,440.03,442.53,1273868
6/6/2018 15:30:00,445.98,458.9,445,454.48,1168856
6/7/2018 15:30:00,452.5,463,452.5,460.68,1068649
6/8/2018 15:30:00,460.5,467.95,458.93,464.35,1134214
6/11/2018 15:30:00,466.5,471.25,453.88,455.8,2052597
6/12/2018 15:30:00,456.48,462,455.83,457.4,1480524
6/13/2018 15:30:00,460,462.9,457.03,461.85,1056853
6/14/2018 15:30:00,464,470,460.53,468.48,1877540
6/15/2018 15:30:00,468.48,477,465.53,474.15,3093292
6/18/2018 15:30:00,477.25,478.68,465.63,466.6,1326833
6/19/2018 15:30:00,466.45,470.28,457.7,460.23,1406237
6/20/2018 15:30:00,460.5,464.38,453.2,455.48,1410131
6/21/2018 15:30:00,456.05,458.5,449.55,451.28,1604451
6/22/2018 15:30:00,453.53,460.9,450.93,452.4,2018350
6/25/2018 15:30:00,452.45,458.75,452,454.45,2127860
6/26/2018 15:30:00,454.5,457.75,453.3,455.2,1624618
6/27/2018 15:30:00,456.1,462.5,455.15,460.53,2875514
6/28/2018 15:30:00,463.23,464.98,452.45,454.8,6783284
6/29/2018 15:30:00,457.05,464.38,456.68,463.13,3029777
7/2/2018 15:30:00,463.5,466.23,460.43,463.05,888198
7/3/2018 15:30:00,465,469.95,458.58,468.75,1027238
7/4/2018 15:30:00,468.48,469.25,462,462.83,773947
7/5/2018 15:30:00,464.05,467.75,460.5,465.53,1708070
7/6/2018 15:30:00,467.5,474.78,461.5,471.95,2527754
7/9/2018 15:30:00,474.5,482.5,472.95,480.78,1855992
7/10/2018 15:30:00,497.5,497.5,487.53,489.78,5521427
7/11/2018 15:30:00,491.85,500.55,489.58,496.73,5104857
7/12/2018 15:30:00,502.98,509.9,501,503.03,5046721
7/13/2018 15:30:00,498.5,498.9,488,491.68,5762028
7/16/2018 15:30:00,492.5,495.45,485.1,486.05,1702222
7/17/2018 15:30:00,488.6,492,484.5,490.15,1620973
7/18/2018 15:30:00,492.95,498.4,492.03,494.95,1892200
7/19/2018 15:30:00,495,497.25,488.25,491.05,750768
7/20/2018 15:30:00,491.8,502.25,490.28,499.6,2189775
7/23/2018 15:30:00,501.5,505.48,495.55,502.43,1648365
7/24/2018 15:30:00,500.75,504.5,494.58,495.8,1462815
7/25/2018 15:30:00,496.5,496.75,480,482.15,2821836
7/26/2018 15:30:00,482.15,483.98,472.53,476.3,3985044
7/27/2018 15:30:00,479.5,484.85,475.25,481.73,2464884
7/30/2018 15:30:00,486.5,490.58,471.55,473.58,3223555
7/31/2018 15:30:00,475.18,483.25,473.68,482.55,2385785
8/1/2018 15:30:00,484,490,482.5,489.33,1784048
8/2/2018 15:30:00,488,492,479.28,480.25,1600353
8/3/2018 15:30:00,483.03,484.95,478.73,481.83,1144509
8/6/2018 15:30:00,484,484.28,476.5,478.25,1082897
8/7/2018 15:30:00,480.45,485.48,479.55,484.4,1117941
8/8/2018 15:30:00,484.5,484.9,478.63,482.28,758983
8/9/2018 15:30:00,483.98,483.98,477.55,478.33,1002729
8/10/2018 15:30:00,480.65,483.9,478.15,483,1208724
8/13/2018 15:30:00,482.98,492.13,482.75,491.5,1442820
8/14/2018 15:30:00,494.08,501,489.5,499.85,2481017
8/16/2018 15:30:00,498.9,507.4,496.15,498.63,2954059
8/17/2018 15:30:00,500,503.9,497.53,501.53,1480205
8/20/2018 15:30:00,502.5,503.25,493.5,494.13,1414802
8/21/2018 15:30:00,500.9,507,499.18,502.3,4919599
8/23/2018 15:30:00,505,514.05,505,512.83,2768779
8/24/2018 15:30:00,515.23,519.53,510.08,511.68,2270195
8/27/2018 15:30:00,513,520.15,512.5,519.5,1244225
8/28/2018 15:30:00,520,523.38,518.45,520.38,1313078
8/29/2018 15:30:00,519.15,520.58,513.5,516.42,2031692
8/30/2018 15:30:00,514.5,516.45,506.78,508.28,2441971
8/31/2018 15:30:00,510.5,527.5,509.75,523.23,3279336
9/3/2018 15:30:00,526.5,530.5,522.3,524.58,2227153
9/4/2018 15:30:00,525.58,539.5,525.5,538.17,2792371
9/5/2018 15:30:00,537.9,543.5,534,539.48,2850556
9/6/2018 15:30:00,537.5,544.9,532.7,544.4,2995905
9/7/2018 15:30:00,543.48,543.48,532.67,536.98,2189939
9/10/2018 15:30:00,538.5,548.45,538.5,544.35,4102539
9/11/2018 15:30:00,545,549.5,541,542.55,4236210
9/12/2018 15:30:00,546,549.5,541.05,543.4,2069567
9/14/2018 15:30:00,542,544.23,532.6,535.35,3645287
9/17/2018 15:30:00,535.03,542.2,535.03,539.2,1509056
9/18/2018 15:30:00,540,545.5,539.2,541.95,1372763
9/19/2018 15:30:00,541.5,549.23,540.55,543.65,2219906
9/21/2018 15:30:00,545.5,546,539.28,542.45,3297815
9/24/2018 15:30:00,542.95,553,540.28,548.15,2216289
9/25/2018 15:30:00,551,562.53,547.15,558.17,2832272
9/26/2018 15:30:00,560.05,560.42,542.58,545.08,1435197
9/27/2018 15:30:00,546.98,552.23,544.25,546.1,2865532
9/28/2018 15:30:00,546.05,549.88,542.75,543.9,2222543
10/1/2018 15:30:00,542.6,550.5,540.5,549.2,1703300
10/3/2018 15:30:00,549.95,550.85,536.9,545.65,2365360
10/4/2018 15:30:00,542.42,546.42,530.5,538.55,1945559
10/5/2018 15:30:00,536,549,535.05,542,1447957
10/8/2018 15:30:00,535,542.28,524,536.05,1155915
10/9/2018 15:30:00,533.25,539.53,521.73,534.2,1347262
10/10/2018 15:30:00,529.5,531.53,519.28,525.9,2261839
10/11/2018 15:30:00,512.75,512.75,499,504.5,3133288
10/12/2018 15:30:00,501.65,503.5,487.25,492.58,2325874
10/15/2018 15:30:00,490,503.08,490,501.48,1807454
10/16/2018 15:30:00,500,506.25,494.53,501.7,1501610
10/17/2018 15:30:00,503.5,518,503.5,512.13,1626985
10/19/2018 15:30:00,508,509.7,476.65,479.25,3434796
10/22/2018 15:30:00,482,493.95,478.58,490.03,1887054
10/23/2018 15:30:00,485,491.8,473.8,475.78,1474481
