Date,Open,High,Low,Close,Volume
4/20/2018 15:30:00,667,706,667,700.5,5490181
4/23/2018 15:30:00,694.55,729.5,690.6,702,6998046
4/24/2018 15:30:00,695,699.75,680,682.7,2728320
4/25/2018 15:30:00,685.9,699.95,677,686.4,4560558
4/26/2018 15:30:00,681,697,680.65,691.1,2852323
4/27/2018 15:30:00,695.05,695.85,668.45,670.5,3756249
4/30/2018 15:30:00,675,684.15,668.1,670.6,2639069
05-02-2018 15:30,674,674,655.5,662.55,1745715
05-03-2018 15:30,662.55,667,645.9,652.95,2284475
05-04-2018 15:30,652.95,665.6,636.45,662.65,3162498
05-07-2018 15:30,671.75,675.5,654.2,657.4,2770174
05-08-2018 15:30,663,666.4,651.05,653.35,1771130
05-09-2018 15:30,653,665.75,648.3,654.1,2193797
05-10-2018 15:30,656.65,671.9,656.65,663.6,3927593
05-11-2018 15:30,663,671.75,654.2,666.45,2880596
5/14/2018 15:30:00,661.6,670,658.25,667.25,1436196
5/15/2018 15:30:00,664.6,680,663.3,670.65,2427422
5/16/2018 15:30:00,671,678.7,669,672.7,1690858
5/17/2018 15:30:00,679,681,666.3,675.8,2022339
5/18/2018 15:30:00,679.8,697.5,671.25,692.95,4304706
5/21/2018 15:30:00,692,695.9,678.25,685.35,2342450
5/22/2018 15:30:00,683.6,690.5,675,686.4,1797801
5/23/2018 15:30:00,687,707.3,683.25,697.45,3516538
5/24/2018 15:30:00,700.95,715.9,695.85,711.35,5914361
5/25/2018 15:30:00,714.95,718.7,696,702.75,3547180
5/28/2018 15:30:00,713.95,713.95,662.35,675.25,8983562
5/29/2018 15:30:00,676.05,686.5,673.25,677.85,2684315
5/30/2018 15:30:00,678,691.25,678,687.25,3744400
5/31/2018 15:30:00,686,717.8,682.45,712.35,7789699
06-01-2018 15:30,712,721.5,698.2,701.15,4585884
06-04-2018 15:30,698,717,695.4,698.3,2864750
06-05-2018 15:30,703,714.8,697.35,701.25,3710175
06-06-2018 15:30,705,706.5,684.3,691.75,2793493
06-07-2018 15:30,694.5,703.9,683,701.85,3166739
06-08-2018 15:30,705,721.3,703.5,706.95,4572713
06-11-2018 15:30,709,721.9,705.5,714.2,4023019
06-12-2018 15:30,715.1,718.65,706.3,709.1,2200939
6/13/2018 15:30:00,715,715.1,706.4,713.8,2429450
6/14/2018 15:30:00,711,717.9,690,698.8,4483300
6/15/2018 15:30:00,702.5,712,695.2,707.25,3273882
